
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:60043        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60044        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60045        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60046        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60047        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60048        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60049        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60050        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60051        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60052        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60053        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60055        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60056        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60057        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60058        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60059        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60060        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60061        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60062        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60063        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60064        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60065        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60066        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60071        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60074        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60076        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60077        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60078        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60079        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60082        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:60083        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60084        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60085        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60090        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60092        127.0.0.1:57798        ESTABLISHED
  TCP    127.0.0.1:60093        127.0.0.1:49350        TIME_WAIT
  TCP    127.0.0.1:60094        127.0.0.1:49350        FIN_WAIT_2
  TCP    192.168.29.36:139      0.0.0.0:0              LISTENING
  TCP    192.168.29.36:59090    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59123    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59124    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59125    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59148    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59149    13.107.137.11:443      ESTABLISHED
  TCP    192.168.29.36:59794    13.89.179.9:443        ESTABLISHED
  TCP    192.168.29.36:59991    34.54.84.110:443       TIME_WAIT
  TCP    192.168.29.36:60014    52.105.206.39:443      ESTABLISHED
  TCP    192.168.29.36:60070    34.54.84.110:443       TIME_WAIT
  TCP    192.168.29.36:60072    34.54.84.110:443       TIME_WAIT
  TCP    192.168.29.36:60087    34.54.84.110:443       TIME_WAIT
  TCP    192.168.29.36:60089    34.54.84.110:443       ESTABLISHED
  TCP    192.168.29.36:61214    13.89.179.10:443       ESTABLISHED
  TCP    192.168.29.36:65195    72.25.64.32:443        ESTABLISHED
  TCP    192.168.29.36:65196    72.25.64.32:443        ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:7680              [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49674             [::]:0                 LISTENING
  TCP    [::]:60544             [::]:0                 LISTENING
  TCP    [::1]:49669            [::]:0                 LISTENING
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:52516  [2603:1040:a06:3::13]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:52745  [2603:1040:a06:6::]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:56911  [2603:1046:c04:cd2::2]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:59280  [2001:4860:4802:34::223]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:59915  [2001:4860:4802:34::223]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:59992  [2001:4860:4802:38::223]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:59994  [2404:6800:4002:819::2001]:443  TIME_WAIT
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:60068  [2600:140f:c00::b854:f858]:443  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:64478  [2404:6800:4003:c11::bc]:5228  ESTABLISHED
  TCP    [2405:201:302c:d88d:6d96:3b96:7395:27a7]:65168  [2603:1040:a06:6::2]:443  ESTABLISHED
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:50686          0.0.0.94:443           
  UDP    0.0.0.0:52468          0.0.0.9:443            
  UDP    0.0.0.0:53259          *:*                    
  UDP    0.0.0.0:53739          *:*                    
  UDP    0.0.0.0:53740          *:*                    
  UDP    0.0.0.0:53863          0.0.32.14:443          
  UDP    0.0.0.0:54332          *:*                    
  UDP    0.0.0.0:54333          *:*                    
  UDP    0.0.0.0:54483          *:*                    
  UDP    0.0.0.0:54484          *:*                    
  UDP    0.0.0.0:54485          *:*                    
  UDP    0.0.0.0:54486          *:*                    
  UDP    0.0.0.0:54487          *:*                    
  UDP    0.0.0.0:54495          0.0.32.10:443          
  UDP    0.0.0.0:55438          *:*                    
  UDP    0.0.0.0:55439          *:*                    
  UDP    0.0.0.0:58359          0.0.32.10:443          
  UDP    0.0.0.0:59441          0.0.0.9:443            
  UDP    0.0.0.0:61512          *:*                    
  UDP    0.0.0.0:61513          *:*                    
  UDP    0.0.0.0:62870          *:*                    
  UDP    0.0.0.0:62871          *:*                    
  UDP    0.0.0.0:62938          *:*                    
  UDP    0.0.0.0:62939          *:*                    
  UDP    0.0.0.0:63234          0.0.32.14:443          
  UDP    0.0.0.0:63709          0.0.32.14:443          
  UDP    0.0.0.0:64791          0.0.32.3:443           
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:10010        *:*                    
  UDP    127.0.0.1:10011        *:*                    
  UDP    127.0.0.1:10012        *:*                    
  UDP    127.0.0.1:49664        127.0.0.1:49664        
  UDP    127.0.0.1:49665        *:*                    
  UDP    127.0.0.1:53839        *:*                    
  UDP    192.168.29.36:137      *:*                    
  UDP    192.168.29.36:138      *:*                    
  UDP    192.168.29.36:1900     *:*                    
  UDP    192.168.29.36:53838    *:*                    
  UDP    [::]:123               *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:50686             [2404:6800:4013:802::5e]:443  
  UDP    [::]:52468             [2404:6800:4009:24::9]:443  
  UDP    [::]:53259             *:*                    
  UDP    [::]:53863             [2404:6800:4002:807::200e]:443  
  UDP    [::]:54495             [2404:6800:4002:82a::200a]:443  
  UDP    [::]:58359             [2404:6800:4002:807::200a]:443  
  UDP    [::]:59441             [2404:6800:4009:24::9]:443  
  UDP    [::]:63234             [2404:6800:4002:818::200e]:443  
  UDP    [::]:63709             [2404:6800:4002:81a::200e]:443  
  UDP    [::]:64791             [2404:6800:4002:805::2003]:443  
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:53837            *:*                    
  UDP    [fe80::bc9e:adbb:bcff:884%11]:1900  *:*                    
  UDP    [fe80::bc9e:adbb:bcff:884%11]:53836  *:*                    
